end_time,client_id,server_ip,server_port,num_messages,tempo_total_segundos,tempo_medio_por_msg,mensagens_enviadas
2025-06-26T19:07:42.445942,13250,127.0.0.1,8085,5,0.06588196754455566,0.013176393508911134,5
end_time,client_id,server_ip,server_port,num_messages,tempo_total_segundos,tempo_medio_por_msg,mensagens_enviadas
2025-06-26T19:07:42.445942,13255,127.0.0.1,8085,5,0.06621766090393066,0.013243532180786133,5
2025-06-26T19:07:42.446019,13232,127.0.0.1,8085,5,0.07047343254089355,0.014094686508178711,5
2025-06-26T19:07:42.447410,13243,127.0.0.1,8085,5,0.07280302047729492,0.014560604095458984,5
2025-06-26T19:07:42.449711,13251,127.0.0.1,8085,5,0.07377767562866211,0.014755535125732421,5
2025-06-26T19:07:42.450285,13239,127.0.0.1,8085,5,0.0760495662689209,0.01520991325378418,5
2025-06-26T19:07:42.456451,13236,127.0.0.1,8085,5,0.08121132850646973,0.016242265701293945,5
2025-06-26T19:07:42.456553,13233,127.0.0.1,8085,5,0.08235001564025879,0.016470003128051757,5
2025-06-26T19:07:42.456618,13246,127.0.0.1,8085,5,0.07982182502746582,0.015964365005493163,5
2025-06-26T19:07:42.458260,13253,127.0.0.1,8085,5,0.08287334442138672,0.016574668884277343,5
